patient_id,admission_date,species,common_name,found_city,found_county,status,final_date
2022-0935,8/3/22,EASO,Eastern screech owl,Hays,Wilkes,R,9/13/22
2022-0936,8/4/22,NOMO,Northern mockingbird,Hickory,Catawba,R,9/9/22
2022-0937,8/4/22,GCKI,Golden-crowned kinglet,Banner Elk,Avery,D,9/7/22
2022-0938,8/4/22,RODO,Rock dove,Valdese,NA,D24,8/5/22
2022-0939,8/5/22,TECA,Eastern box turtle,Purlear,Wilkes,D,8/20/22
2022-0940,8/5/22,PIWA,Pine Warbler,Boone,Watauga,D24,8/5/22
2022-0941,8/5/22,SOSP,Song sparrow,Asheville,Buncombe,E,8/29/22
2022-0942,8/6/22,RTHU,Ruby-throated hummingbird,Boone,Watauga,D24,8/7/22
2022-0943,8/6/22,RTHU,Ruby-throated hummingbird,Claremont,Catawba,D,9/27/22
2022-0944,8/8/22,SCCA,Eastern gray squirrel,Lenior,NA,E24,8/8/22
2022-0945,8/8/22,CAGO,Canada goose,,NA,R,8/25/22
2022-0946,8/8/22,PELE,White-footed mouse,Blowing Rock,Watauga,R,8/11/22
